"","NSubs","baseCig","AlcRate","AlcOR","Days","Power.05","Power.01","AlcRate.Str","baseCig.Str"
"1",50,0.2,0.2,1.5,14,0.518,0.332,"Drinking Rate: 20%","20%"
"2",75,0.2,0.2,1.5,14,0.626,0.429,"Drinking Rate: 20%","20%"
"3",100,0.2,0.2,1.5,14,0.725,0.538,"Drinking Rate: 20%","20%"
"4",125,0.2,0.2,1.5,14,0.822,0.646,"Drinking Rate: 20%","20%"
"5",150,0.2,0.2,1.5,14,0.863,0.749,"Drinking Rate: 20%","20%"
"6",175,0.2,0.2,1.5,14,0.914,0.791,"Drinking Rate: 20%","20%"
"7",200,0.2,0.2,1.5,14,0.927,0.848,"Drinking Rate: 20%","20%"
"8",225,0.2,0.2,1.5,14,0.953,0.881,"Drinking Rate: 20%","20%"
"9",250,0.2,0.2,1.5,14,0.964,0.926,"Drinking Rate: 20%","20%"
"10",275,0.2,0.2,1.5,14,0.984,0.95,"Drinking Rate: 20%","20%"
"11",300,0.2,0.2,1.5,14,0.991,0.975,"Drinking Rate: 20%","20%"
"12",50,0.5,0.2,1.5,14,0.491,0.304,"Drinking Rate: 20%","50%"
"13",75,0.5,0.2,1.5,14,0.661,0.452,"Drinking Rate: 20%","50%"
"14",100,0.5,0.2,1.5,14,0.742,0.572,"Drinking Rate: 20%","50%"
"15",125,0.5,0.2,1.5,14,0.81,0.65,"Drinking Rate: 20%","50%"
"16",150,0.5,0.2,1.5,14,0.874,0.759,"Drinking Rate: 20%","50%"
"17",175,0.5,0.2,1.5,14,0.915,0.828,"Drinking Rate: 20%","50%"
"18",200,0.5,0.2,1.5,14,0.921,0.827,"Drinking Rate: 20%","50%"
"19",225,0.5,0.2,1.5,14,0.969,0.909,"Drinking Rate: 20%","50%"
"20",250,0.5,0.2,1.5,14,0.98,0.942,"Drinking Rate: 20%","50%"
"21",275,0.5,0.2,1.5,14,0.982,0.945,"Drinking Rate: 20%","50%"
"22",300,0.5,0.2,1.5,14,0.991,0.971,"Drinking Rate: 20%","50%"
"23",50,0.2,0.5,1.5,14,0.625,0.415,"Drinking Rate: 50%","20%"
"24",75,0.2,0.5,1.5,14,0.724,0.537,"Drinking Rate: 50%","20%"
"25",100,0.2,0.5,1.5,14,0.83,0.677,"Drinking Rate: 50%","20%"
"26",125,0.2,0.5,1.5,14,0.881,0.775,"Drinking Rate: 50%","20%"
"27",150,0.2,0.5,1.5,14,0.939,0.845,"Drinking Rate: 50%","20%"
"28",175,0.2,0.5,1.5,14,0.971,0.908,"Drinking Rate: 50%","20%"
"29",200,0.2,0.5,1.5,14,0.971,0.927,"Drinking Rate: 50%","20%"
"30",225,0.2,0.5,1.5,14,0.992,0.962,"Drinking Rate: 50%","20%"
"31",250,0.2,0.5,1.5,14,0.992,0.97,"Drinking Rate: 50%","20%"
"32",275,0.2,0.5,1.5,14,0.996,0.98,"Drinking Rate: 50%","20%"
"33",300,0.2,0.5,1.5,14,1,0.992,"Drinking Rate: 50%","20%"
"34",50,0.5,0.5,1.5,14,0.6,0.417,"Drinking Rate: 50%","50%"
"35",75,0.5,0.5,1.5,14,0.746,0.58,"Drinking Rate: 50%","50%"
"36",100,0.5,0.5,1.5,14,0.858,0.701,"Drinking Rate: 50%","50%"
"37",125,0.5,0.5,1.5,14,0.899,0.773,"Drinking Rate: 50%","50%"
"38",150,0.5,0.5,1.5,14,0.947,0.857,"Drinking Rate: 50%","50%"
"39",175,0.5,0.5,1.5,14,0.958,0.896,"Drinking Rate: 50%","50%"
"40",200,0.5,0.5,1.5,14,0.988,0.955,"Drinking Rate: 50%","50%"
"41",225,0.5,0.5,1.5,14,0.987,0.96,"Drinking Rate: 50%","50%"
"42",250,0.5,0.5,1.5,14,0.99,0.968,"Drinking Rate: 50%","50%"
"43",275,0.5,0.5,1.5,14,0.999,0.993,"Drinking Rate: 50%","50%"
"44",300,0.5,0.5,1.5,14,0.998,0.992,"Drinking Rate: 50%","50%"
