"","NSubs","baseCig","AlcRate","AlcOR","Days","Power.05","Power.01","AlcRate.Str"
"1",50,0.2,0.2,2,14,0.848,0.711,"Drinking Rate:  0.2"
"2",70,0.2,0.2,2,14,0.933,0.85,"Drinking Rate:  0.2"
"3",90,0.2,0.2,2,14,0.982,0.943,"Drinking Rate:  0.2"
"4",110,0.2,0.2,2,14,0.991,0.959,"Drinking Rate:  0.2"
"5",130,0.2,0.2,2,14,0.994,0.982,"Drinking Rate:  0.2"
"6",150,0.2,0.2,2,14,0.998,0.991,"Drinking Rate:  0.2"
"7",170,0.2,0.2,2,14,0.999,0.996,"Drinking Rate:  0.2"
"8",190,0.2,0.2,2,14,0.999,0.998,"Drinking Rate:  0.2"
"9",210,0.2,0.2,2,14,1,0.999,"Drinking Rate:  0.2"
"10",230,0.2,0.2,2,14,1,1,"Drinking Rate:  0.2"
"11",250,0.2,0.2,2,14,1,1,"Drinking Rate:  0.2"
"12",270,0.2,0.2,2,14,1,1,"Drinking Rate:  0.2"
"13",290,0.2,0.2,2,14,1,1,"Drinking Rate:  0.2"
"14",50,0.4,0.2,2,14,0.889,0.767,"Drinking Rate:  0.2"
"15",70,0.4,0.2,2,14,0.967,0.887,"Drinking Rate:  0.2"
"16",90,0.4,0.2,2,14,0.984,0.946,"Drinking Rate:  0.2"
"17",110,0.4,0.2,2,14,0.993,0.976,"Drinking Rate:  0.2"
"18",130,0.4,0.2,2,14,0.998,0.986,"Drinking Rate:  0.2"
"19",150,0.4,0.2,2,14,0.997,0.994,"Drinking Rate:  0.2"
"20",170,0.4,0.2,2,14,1,0.997,"Drinking Rate:  0.2"
"21",190,0.4,0.2,2,14,1,0.999,"Drinking Rate:  0.2"
"22",210,0.4,0.2,2,14,1,1,"Drinking Rate:  0.2"
"23",230,0.4,0.2,2,14,1,1,"Drinking Rate:  0.2"
"24",250,0.4,0.2,2,14,1,1,"Drinking Rate:  0.2"
"25",270,0.4,0.2,2,14,1,1,"Drinking Rate:  0.2"
"26",290,0.4,0.2,2,14,1,1,"Drinking Rate:  0.2"
"27",50,0.6,0.2,2,14,0.833,0.688,"Drinking Rate:  0.2"
"28",70,0.6,0.2,2,14,0.921,0.825,"Drinking Rate:  0.2"
"29",90,0.6,0.2,2,14,0.966,0.902,"Drinking Rate:  0.2"
"30",110,0.6,0.2,2,14,0.988,0.956,"Drinking Rate:  0.2"
"31",130,0.6,0.2,2,14,0.996,0.98,"Drinking Rate:  0.2"
"32",150,0.6,0.2,2,14,0.996,0.989,"Drinking Rate:  0.2"
"33",170,0.6,0.2,2,14,0.998,0.993,"Drinking Rate:  0.2"
"34",190,0.6,0.2,2,14,1,0.999,"Drinking Rate:  0.2"
"35",210,0.6,0.2,2,14,1,0.998,"Drinking Rate:  0.2"
"36",230,0.6,0.2,2,14,1,1,"Drinking Rate:  0.2"
"37",250,0.6,0.2,2,14,1,1,"Drinking Rate:  0.2"
"38",270,0.6,0.2,2,14,1,1,"Drinking Rate:  0.2"
"39",290,0.6,0.2,2,14,1,1,"Drinking Rate:  0.2"
"40",50,0.8,0.2,2,14,0.721,0.532,"Drinking Rate:  0.2"
"41",70,0.8,0.2,2,14,0.832,0.675,"Drinking Rate:  0.2"
"42",90,0.8,0.2,2,14,0.924,0.801,"Drinking Rate:  0.2"
"43",110,0.8,0.2,2,14,0.958,0.894,"Drinking Rate:  0.2"
"44",130,0.8,0.2,2,14,0.977,0.929,"Drinking Rate:  0.2"
"45",150,0.8,0.2,2,14,0.99,0.96,"Drinking Rate:  0.2"
"46",170,0.8,0.2,2,14,0.993,0.974,"Drinking Rate:  0.2"
